date,source,region,province,price_vnd_per_kg,change_vnd_per_kg,source_url,benchmark_price_vnd_per_kg
05/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Bắc Ninh,65000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Cao Bằng,65000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Hà Nội,65000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Hưng Yên,65000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Hải Phòng,65000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Lai Châu,64000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Lào Cai,63000,-3000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Lạng Sơn,65000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Ninh Bình,64000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Phú Thọ,64000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Quảng Ninh,65000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Sơn La,64000,-2000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Thái Nguyên,64000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Tuyên Quang,64000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Bắc,Điện Biên,65000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Nam,An Giang,69000,0.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Nam,Cà Mau,69000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Nam,Cần Thơ,68000,0.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Nam,TP.HCM,70000,0.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Nam,Tây Ninh,70000,0.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Nam,Vĩnh Long,69000,0.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Nam,Đồng Nai,70000,0.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Nam,Đồng Tháp,69000,0.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Gia Lai,67000,0.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
05/03/2026,nongnghiepmoitruong.vn,Miền Trung - Tây Nguyên,Huế,67000,-1000.0,https://nongnghiepmoitruong.vn/gia-heo-hoi-hom-nay-5-3-2026-co-noi-mat-3000-dong-d799393.html,
